381 7
INST TIME1 TIME2 PARTIDA REND1 REND2 RESULT
299 Parana/PR Figueirense/SC semi Regular Bom false
300 Parana/PR Palmeiras/SP semi Bom Otimo true
301 Parana/PR Corinthians/SP semi-final Regular Bom true
302 Parana/PR Flamengo/RJ semi-final Regular Bom false
303 Parana/PR Fluminense/RJ semi-final Bom Otimo true
304 Parana/PR Nautico/PE semi-final Regular Bom false
305 Santos/SP Atletico/MG final Otimo Bom false
306 Santos/SP Fluminense/RJ final Bom Otimo false
307 Santos/SP Goias/GO final Otimo Regular true
308 Santos/SP Palmeiras/SP final Otimo Otimo false
309 Santos/SP America/RN inicio Ruim Fantastico false
310 Santos/SP Corinthians/SP inicio Ruim Fantastico false
311 Santos/SP SaoPaulo/SP inicio Ruim Otimo false
312 Santos/SP Atletico/PR meio Bom Bom true
313 Santos/SP Parana/PR meio Bom Otimo true
314 Santos/SP Sport/PE meio Bom Ruim true
315 Santos/SP Botafogo/RJ semi Regular Fantastico true
316 Santos/SP Cruzeiro/MG semi Regular Otimo true
317 Santos/SP Figueirense/SC semi Bom Regular true
318 Santos/SP Flamengo/RJ semi Bom Otimo true
319 Santos/SP Gremio/RS semi Ruim Bom false
320 Santos/SP Nautico/PE semi Bom Bom false
321 Santos/SP Internacional/RS semi-final Otimo Bom true
322 Santos/SP Juventude/RS semi-final Otimo Ruim true
323 Santos/SP Vasco/RJ semi-final Otimo Bom true
324 SaoPaulo/SP America/RN final Otimo Regular true
325 SaoPaulo/SP Botafogo/RJ final Otimo Otimo false
326 SaoPaulo/SP Cruzeiro/MG final Otimo Otimo true
327 SaoPaulo/SP Gremio/RS final Otimo Regular true
328 SaoPaulo/SP Atletico/MG inicio Regular Otimo false
329 SaoPaulo/SP Goias/GO inicio Fantastico Ruim true
330 SaoPaulo/SP Palmeiras/SP inicio Bom Fantastico false
331 SaoPaulo/SP Vasco/RJ inicio Bom Bom true
332 SaoPaulo/SP Atletico/PR meio Otimo Bom true
333 SaoPaulo/SP Nautico/PE meio Otimo Bom true
