inst time_1 time_2 tempo_partida rendimento 
352 Vasco/RJ Sao-Paulo/SP final Fantastico 
353 Vasco/RJ Gremio/RS inicio Fantastico 
354 Vasco/RJ Figueirense/SC semi-final Fantastico 
355 Vasco/RJ Atletico/PR final Fantastico 
356 Vasco/RJ Portuguesa/SP inicio Fantastico 
357 Vasco/RJ Fluminense/RJ semi Fantastico 
358 Vasco/RJ Ipatinga/MG semi Fantastico 
359 Vasco/RJ Sport/PE semi Fantastico 
360 Vasco/RJ Internacional/RS meio Fantastico 
361 Vasco/RJ Atletico/MG meio Fantastico 
362 Vitoria/BA Cruzeiro/MG inicio Fantastico 
363 Vitoria/BA Sport/PE meio Fantastico 
364 Vitoria/BA Ipatinga/MG semi-final Fantastico 
365 Vitoria/BA Flamengo/RJ final Fantastico 
366 Vitoria/BA Atletico/MG final Fantastico 
367 Vitoria/BA Palmeiras/SP final Fantastico 
368 Vitoria/BA Santos/SP inicio Fantastico 
369 Vitoria/BA Sao-Paulo/SP semi Fantastico 
370 Vitoria/BA Coritiba/PR semi-final Fantastico 
371 Vitoria/BA Internacional/RS inicio Fantastico 
372 Vitoria/BA Nautico/PE semi Fantastico 
373 Vitoria/BA Atletico/PR meio Fantastico 
374 Vitoria/BA Fluminense/RJ semi-final Fantastico 
375 Vitoria/BA Goias/GO semi Fantastico 
376 Vitoria/BA Portuguesa/SP semi-final Fantastico 
377 Vitoria/BA Figueirense/SC inicio Fantastico 
378 Vitoria/BA Gremio/RS final Fantastico 
379 Vitoria/BA Botafogo/RJ semi Fantastico 
380 Vitoria/BA Vasco/RJ meio Fantastico 
